full_text;sentimen;
Anggota DPR ada yang ketakutan dengan OTT. Pantas dengan RUU perampasan aset juga takut. Terkesan menghindar;negatif;
Alhamdulillah untung saya tdk milih atau Golput pada Pileg beberapa pemilihan. Sehingga saya tdk ikut mempertanggungjawabkan pilihan saya kelak di Akhirat krn pilih Org Brengsek (sdh Gaji Gede dpt Pensiun pula dari Uang Rakyat) @antikorupsi @sahabatICW https://t.co/O3BBTETiSB;;
Out of the box. Dan jangan harap RUU Perampasan Aset akan disahkan meskipun akan masuk Prolegnas tahun depan.;negatif;
@Heraloebss @prabowo Ini koruptor tuh hukumannya cuma penjara doang kah? G ada gitu suruh balikin sesuai kerugian negara + bayar denda gitu. Kok klo cm penjara kyk ringan bgt dah. Ini dpr kapan sahkan RUU Perampasan Aset? Giliran uu masalah pemilu dan cal;negatif;
Oleh2 utk @riekediahp kok ibu tdk mau desak pengesahan RUU perampasan aset koruptor sih uang negara ilang hasil korupsi diubah menjadi harta bergerak &amp;negatif;
Penolakan PPN 12% sgt bahaya utk APBN smuanya udah dihitung dgn teliti oleh @KemenkeuRI wakil rakyat kumpulan org2 bodoh krn cuma bsa kritik doank RUU perampasan aset mangkrak oleh kaum celeng tuh pdahal uang negara ilang oleh koruptor;negatif;
Hal tersebut disampaikan dalam Rapat Kerja (Raker) Penyusunan Prolegnas RUU Jangka Menengah Tahun 2025-2029 dan Prolegnas RUU Prioritas Tahun 2025. Selanjutnya di: https://t.co/dXfEUKA2Ic;;
dengan mengusulkan Rancangan Undang-Undang (RUU) Perampasan Aset Terkait Tindak Pidana ke dalam Program Legislasi Nasional (Prolegnas) tahun 2025-2029.;;
RUU Perampasan Aset Masuk Usulan Prolegnas Kakanwil Kemenkumham Malut Dukung Langkah Menteri Hukum Jakarta Menteri Hukum Republik Indonesia Supratman Andi Agtas menyampaikan bahwa pemerintah berkomitmen kuat dalam memberantas korupsi https://t.co/2SnJBvLM3h;positif;
tolol mending sah kan ruu perampasan aset drpd beropini hal hal tolol bgini di dunia ini;positif;
Di negara lain korupsi di hukum mati di Indonesia ga jumlah korupsi di negara lain lebih sedikit jadi kepercayaan terhadap pajak sangat berbeda itu wajar sebaiknya benahin dulu kepercayaan masyarakat baru naikan pajak terutama RUU perampasan aset ;negatif;
@abdi_rakyat_24 @CakKhum Mana bisa mas...UU itu produk DPR dan pemerintah mau apa mrk buat UU yg bakal nyusahin mrk sendiri...liat aja tuh RUU perampasan aset gak masuk dlm prolegnas krn otak kriminal mrk sdh waspada bakal gorok leher mrk sendiri kalo dis;negatif;
@DS_yantie Sampai sebegitu nya pemerintah mengorek pajak dari wong cilik yg mengais rejeki dgn untung yg minim dimana duwit bagi kesejahteraannya telah di korupsi mengapa tidak segera di sahkan RUU perampasan aset koruptor dan memberi efek jera padahal RI;positif;
@anggaBeth @ProeliaTWD @pandji Ah kaya gak tau aja kalau lgsg dor nanti bersinggungan sama HAM pemerintah ribet lagi. Sekecil ruu perampasan aset aja gak disahin karena kata nya butuh waktu biar optimal nanti implementasinya dan gak salah sasaran padahal ;negatif;
Saat ini Bu Puan Maharani kembali menjadi Ketua @DPR_RI menjadi pertanyaan dimana RUU Perampasan Aset Koruptor tak masuk Prolegnas. SERIUS GA DPR ingin berantas Korupsi? https://t.co/EwgwVFmYcG https://t.co/PoAgKXZtym;negatif;
@gulasemangka Hahaha dahvtaubkan sebenernya siapa yg gak beres emng gak guna ada wakil rakyat/dpr. Orngbmereka aj menikmati hasil korupsi makanya ruu perampasan aset gaknbakal disetujui ma mereka ;negatif;
Yg bilang RUU Perampasan Aset bisa jadi pedang bermata dua karna rawan diktator kemungkinan dia lah kawanan tikusnya wkwk Australia yg dah nerapin unexplained wealth apakah pemerintahannya jadi diktator?;negatif;
@kompasiana Ya kan waktu yg bisa mmbuktihkan min..apakah mereka pantas disbut sbgai pemimoin ideal/tdk?... tp blom apa2 sdh menimbulkan keragu2an jika OTT mau ditiadakan?..lbih mengutamakan pencegahan tp disisi lain RUU perampasan aset blom mnjdi UU..yaki;negatif;
@inilahdotcom Amanah konstituen masukan ke Prolegnas RUU PERAMPASAN ASET. Yang Di lakukan Konstitusi Şahkan UU AMNESTY PAJAK . ;;
@Heraloebss @prabowo Sudah waktunya RUU perampasan aset dan pemiskinan koruptor di ACC keun.;positif;
RUU Perampasan Aset ini pisau bermata dua just reminder.);negatif;
@Mdy_Asmara1701 Ga ada 'nyinyiran' atau protes dari PSI ni? Yg sok2an bahas RUU perampasan aset saat aksi protes RUU Pilkada (peringatan darurat) agustus lalu? ;negatif;
@hnirankara 1) Habiburrohman Elit Gerindra = Refleksi Sikap Prabowo thd Korupsi/Koruptor 2) Spt halnya Duo Gerindra Supratman Menkumham &amp;;
@mardigu024 Dan kita berharap RUU perampasan aset bakalan di kerjain sama @DPR_RI ? Masa iya mau miskinin diri sendiri?;negatif;
@Mdy_Asmara1701 1) Pemerintah/Menkumham Supratman/Gerindra &amp;;
@detikcom Kalau Presidennya Pak @aniesbaswedan Apa pemerintah akan mendorong sekuat tenaga untuk menjadikan RUU Perampasan Aset jadi UU Perampasan Aset? @tempodotco;negatif;
Boro boro mau sahkan RUU perampasan aset malah usul yg bgtu mentang mentang Mayoritas pendukung pemerintah ga ada yg inget RUU perampasan aset nya;negatif;
@are_inismyname @Gerindra @Ndons_Back @BANGSAygSUJUD @99propaganda @IrawanRommi @DarekaRendy @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie eksekutif dan legislatif pasti berjalan beriringan. apalagi soal menguntungkan bagi kantong mereka dan kron;;
Anggota Dewan nu dipilih kamari 2024 henteu niat berantas korupsi! RUU Perampasan Aset lagi2 dijegal Kudu kumaha atuhnya urang jadi rakyat ? @dhemit_is_back @logikapolitikid kudu rakyat geruduk Gedung DPR Netanyahu giselle Janda Towel Pam Bondi Dnipro https://t.co/bPEcj1WzPU;negatif;
@geloraco NYINDIR2 MELULU PAK GAK ADA ACTION KELUARIN PERPPU PAK UTK MEREVISI UU PPN 12% SURUH TUH KOALISI BAPAK DI DPR UTK MENSAHKANNYA JADI UU. MINTA JUGA KE PARTAI KOALISI UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR. KAN KATANYA PRO RAKYAT SAMA ANTI KOR;positif;
@KompasTV BAPAK CUMA OMON2 DOANG SURUHLAH PAK PARTAI KOALISI BAPAK DI DPR UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR BAPAK TINGGAL PANGGIL KETUM PARTAI KOALISI KE KERTANEGARA. NGAPAIN JUGA MINTA DENDA ATAU DISURUH MENGEMBALIKAN JARAHANNYA. CUKUP SAHKAN RU;positif;
@ridwanhr Boleh ngga si dukung terus RUU Perampasan Aset di sah in selama ini orang orang aja ngga pernah perjuangin itu. Pada kmn giliran udh rame vonis juga ngga ada yg ngamuk soal RUU perampasan aset;negatif;
@Johan_Vicx @alatas_faiz @OjolNyambi Demo lah sah kan ruu perampasan aset blog bukan lu teriak ke si mulyono;positif;
@tham878 Masa sekelas presiden cuma bisa nyindir langsung tindak tegas dong sahkan RUU Perampasan aset omon omon doang nih;negatif;
@KompasTV RUU perampasan aset sampe mana koalisi gendut itu ngapain aja ? Pidato berapi2 aksi nol besar;negatif;
@Gerindra Msh menunggu instruksi kerja nyatanya agar RUU Perampasan Aset dapat segera disahkan shg tidak dianggap omon2 saja yg katanya mau berantas korupsi dan bakal dikejar hingga ke antartika;positif;
Setelah draf RUU Perampasan Aset mengendap belasan tahun di meja @DPR_RI ..️ https://t.co/UeRIktukAm #RampasHartaKoruptor @cobeh2022 @DokterTifa @Tan_Mar3M @alisyarief @ekowboy2 @Mdy_Asmara1701 @BosPurwa @AdamVelcro https://t.co/vyiXg6OktX;negatif;
@Dennysiregar7 Demo PPN gak akan menarik simpati rakyat tapi kalau demo mintak disahkannya RUU perampasan aset koruptor bisa rame juga tuh.;positif;
Min.. Titip pesan sama bapak @prabowo dan @bang_dasco Sahkan RUU Perampasan Aset Koruptor.. Evaluasi kinerja para hakim Tipikor.. #BatalkanPPN12Persen;positif;
@Tan_Mar3M Jangankan sindirian hanya kemiskinan yg mereka takutkan Kapan RUU perampasan aset di sahkan jendral?;negatif;
Bila perlu hukum pancung ini sebenarnya alasan DPR dan bahkan presiden Prabowo tidak berniat mengesahkan RUU perampasan aset. Umumnya mereka maling jadi jangan berharap RUU tsb akan segera disahkan.;negatif;
@papa_loren @KPK_RI wkwkwkwkwk bajingan makanya RUU perampasan aset koruptor tdk menyetujui;negatif;
Pak... Tolong pak Evaluasi dan reformasi Pengadilan Tipikor... Ini udah parah keputusan kayak gini pak... Sahkan RUU perampasan aset koruptor.. Udah lampu merah penegakan hukum di negeri ini.. @prabowo;positif;
@Gerindra Pak dorong ruu perampasan hak aset segera d sahkan dong. Masa sdh berthn2 nginep di dpr g segera di sahkan sih.;positif;
@tham878 MON OMON DOANG RUU PERAMPASAN ASET KAGAK DISAHKAN JUGA DI DPR. PADAHAL TINGGAL NYURUH PARTAI KOALISINYA DI DPR UTK MENSAHKAN RUU ITU ;negatif;
@AirinDatangLagi KALAU PUNYA NYALI PASTI DIA DAH SURUH PARTAI KOALISINYA DI DPR UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR. INI KAGAK CUMA MON OMON DOANG ;negatif;
@KompasTV DAH LAH PAK JANGAN MON OMON DOANG MINTA KE PARTAI KOALISINYA DI DPR UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR JANGAN NYURUH KORUPTOR MENGEMBALIKAN HASIL KORUPSI GAK AKAN BALIK HARUS DIPAKSA DAN DIRAMPAS. SUSAH AMAT SIH PAK MELAKUKANNYA KATANYA ;positif;
@bonnietriyana Ayo lah segerakan kader PDIP jadi inisiator pengesahan RUU perampasan aset jangan cuma retorika.;positif;
Jika benar presiden @prabowo ingin berantas korupsi perintahkan KIM PLUS yg mayoritas di @DPR_RI untuk hoalkan RUU Perampasan Aset Koruptor dan Prabowo menanda tangani. Klo benar serius basmi korupsi buat jg UU Hukuman Mati Koruptor. Dijamin koruptor mikir 1.000× buat korupsi.;;
@TeddGus YAELAH TED PRABOWO TINGGAL NYURUH PARTAI KOALISINYA DI DPR UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR KENAPA GAK DILAKUKAN. KATANYA MAU BERANTAS KORUPSI APA CUMA MON OMON DOANG ;negatif;
@BANGSAygSUJUD @prabowo @99propaganda @EricRicaldo @FDonghun @florieliciouss @gtobing2903 @Kimberley_PS08 @MondrianOm6762 @Ndons_Back @are_inismyname @satriamadang88 Berani beneran pa pak? Jgn2 takut karena ada di circle bpk semua yg mau diberantas ... Kl;;
@CNNIndonesia Bnyk omong pak segera ajukan RUU PERAMPASAN ASET jgn kebanyakan alesan;negatif;
@bonnietriyana Jadi kapan PDIP siap mendorong RUU Perampasan ASET di SAH kan bang?;negatif;
@20detik Nah gitu dong Pak @prabowo ..bersuara lah jgn biarkan ktidakadilan dlm penegakkan hukum di megara ini trus trjadi..jd gmna..apa solusinya kdepannya..hukuman mati piye atau RUU perampasan Aset sdh disahkan mnjadinUU ngak nih?;negatif;
@officialinews_ @sutanmangara @prabowo DAH PAK GAK USAH BANYAK MON OMON DORONG TUH DPR UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR DPR KAN KOALISINYA BAPAK MAU NUNGGU APA LAGI PAK LEBARAN KUDA?! ;negatif;
@sutanmangara @prabowo RUU PERAMPASAN ASET KORUPTOR AJA BLON JUGA DISAHKAN DPR PADAHAL DPR SEKARANG DIKUASAI KIMPLUS KOALISI PARTAI PENDUKUNG PRABOWO. EMANG MAU NUNGGU APA LAGI JANGAN CUMA OMON2. MAU BRANTAS KORUPSI CUMA WACANA CUMA MON OMON ;negatif;
@Just_Ab1 @kangaswad Inisiatif project meng-aduk tay menyambut 2025? Semoga PPN ga naik 12% RUU Perampasan Aset Hukum lebih tegas.. Aamiin Apa ga ada tuntunannya juga?;negatif;
Publik jadi makin sadar kan? Kenapa PDIP sebagai partai penguasa di parlemen ga mau mengesahkan RUU Perampasan Aset Koruptor? Ya karena mereka lah yang melindungi koruptor munafik kalo mereka bilang bersama rakyat ;negatif;
@BANGSAygSUJUD @prabowo @99propaganda @EricRicaldo @FDonghun @florieliciouss @gtobing2903 @Kimberley_PS08 @MondrianOm6762 @Ndons_Back @are_inismyname @satriamadang88 Tai kucing lah kalau Prabowo benar-benar niat mau berantas korupsi dia bakal mendorong su;;
@FTO1174 Siapa yg demo? Mahasiswa? Ah mahasiswa mah pilih2 kalo mau demo. RUU perampasan aset aja ga ada demo buat maksa DPR mensahkan;negatif;
@tham878 Lu itu bengak.. Ngapain jga demo masalah RUU perampasan aset sebagian besar anggota dewan sekarang partai pengusung pemerintah...;negatif;
@NenkMonica Makanya sejak awal yg koar2 minta segera mensahkan RUU Perampasan Aset hanyalah omon2 saja.. Pemerintah dan DPR ga bakal mensahkan krn sdh tlihat jelas kelakuannya spt kasus dana CSR-BI ini.. yg ada malah RUU PA dimodifikasi shg mrk tetap thin;negatif;
@KompasTV Langsung aja sih bikin aturan minimal segera dorong pengesahan RUU Perampasan Aset. Presiden itu senjatanya ya kebijakan bukan omon2.;positif;
@RadioElshinta Kenapa ya para akedemisi juga cari cara yg ribet? Padahal Sahkan aja RUU Perampasan aset Koruptor. Kan beres! Pake bikin aturan baru lagi. Bingung nih akademisi.;positif;
Kalau mau berlandaskan hukum seperti kutbah Setneg sahkan dulu RUU Perampasan Aset https://t.co/eUzU1fTQPH;positif;
MACET DI DPR ⁉️ Mahfud MD menilai pengesahan RUU Perampasan Aset solusi efektif tangani kasus korupsi dibandingkan minta koruptor mengaku diam-diam. Sudah dituju ke DPR sama pemerintah dulu tapi macet di DPR Kata Mahfud. https://t.co/K81uLpnXmB;positif;
Jangan salahkan PDIP yang inisiasi PPN naik 12% jika akhirnya Gerindra juga menikmatinya. Kecuali pemerintah batalkan. Lebih baik sahkan RUU Perampasan Aset dan divestasi saham tambang Nikel yang dikuasai RRC melalui Virtual Dragon. https://t.co/MHsthjwZDp;positif;
Semakin banyak rakyat yang kehendaki PPN 12 % dibatalkan menjaga daya beli masyarakat. Apalagi Polri juga menambah 2 pajak tambahan dalam STNK kendaraan bermotor. Lebih baik sahkan RUU Perampasan Aset dan fokus swasembada pangan https://t.co/09X6LiXtiR;positif;
@Fr4nst @Uki23 @prabowo Wkwwk emang @prabowo paham apa itu RUU perampasan Aset? Wkwkww;negatif;
@dinulfadli_ Mau RUU Perampasan Aset di sah in;positif;
@NenkMonica Bajingan semua pejabat di indonesia makanya RUU perampasan aset tdk di UU kan mrk itu pengemis yg berubah menjadi maling;negatif;
@Uki23 Berharap maling mau ngembaliin uang yg Dimaling itu sama aja omong kosong sekedar malu aja tidak ada terbesit di hati para koruptor Kalau pak @prabowo serius maka gesa RUU perampasan aset agar segera di sahkan jadi UU jangan omon omon;positif;
@txtdrimedia Mohon maap Pak @prabowo &amp;;
@Uki23 Pak presiden @prabowo dngn koalisi mayoritas di DPR (KIM PLUS) pasti akan membuat RUU Perampasan Aset disetujui dan dijadikan UU. Apalagi Pak Prabowo berjanji akan memerangi korupsi. Kini rakyat menantikan gebrakan pemerintah dngn KIM PLUSnya.;positif;
Sekarang beda. Kita punya presiden itu terkenal dan dijuluki Macan Asia. Pak @prabowo pasti akan sikat hbs Singapura. Skrng Pak Prabowo fokus tangkapi koruptor kelas kakap. Sbntr lg RUU Perampasan Aset akan dijadikan UU. KIM PLUS adlh mayoritas di DPR pasti segera getok palu.;positif;
RUU Perampasan aset udah sampe mana ya? Oh iya lupa negara kan ga serius ngurus yg bgtuan;negatif;
@tvOneNews Sahkan RUU Perampasan Aset!;positif;
@habiburokhman Kl berani dan bersunguh2 brantas korupsi majukan RUU perampasan aset menjadi UU.;positif;
Kejar dong pak jangan cemen. Sahkan RUU Perampasan Aset;positif;
@narkosun Mhsw tau gk kpn sebuah perpu bs diterbitkn? Tau gk bhw perpu jg prlu persetujuan DPR? Tau gk bhw perpu jg bs ditolak DPR? Mending belajar dl baek2 jgn demo muluk Dulu disuruh Jokowi desak DPR mengesahkan RUU Perampasan Aset eeh malah brenti demo;positif;
@DedynurPalakka @prabowo Nah dg DPR yg skrg posisi RUU Perampasan Aset sdh ada di mana ??? Hrsnya nggak sulit meloloskan jd UU krn mayoritas sepamahaman kan..??? Atau cuma tinggal omon2 sj..??? ;negatif;
Presiden @prabowo sangat bagus mengajak koruptor u/ bertobat akan tetapi ini beda konteks pak! Agar ada efek jera u/ para koruptor bukan dgn menyuruh mereka bertobat akan tetapi harus ada hukuman yg membuat jera misalkan memiskinkan koruptor &amp;;
Rakyat dalam keadaan susah. Sebaiknya PPN 12% ditunda pelaksanaannya. Pemerintah bisa cari solusi utk menombok APBN yg Defisit misalnya penghematan membereskan dugaan permainan aparat pajak dan pengusaha besar mengesahkan RUU perampasan aset;positif;
@tham878 Pemerintahan sdh di tangan... Parlemen sdh dikuasai oleh Koalisi KIMpet... Lalu nunggu apalagi...??? Tinggal ketok palu RUU Perampasan Aset bisa di syahkan menjadi UU. Pecundang...!!! https://t.co/YHBGDcjXwc;negatif;
pengesahan RUU Perampasan Aset Akan menjadi prestasi terbaik pak prabowo selama karirnya sebagai presiden. Dan jika ini benar terjadi maka tak berlebihan bagi warga indonesia untuk menyematkan julukan Bapak anti korupsi kepada presiden prabowo.;positif;
@detikcom RUU perampasan aset gak bakal di sahkan segera! Sebelum mereka mengamankan aset mereka dulu wkwk;negatif;
@Ryan_Fighter7 Sahkan RUU perampasan aset. Bukan dimaafkan setelah mengembalikan uangnya . Emang sdh ada yg mau mengembalikan? Terbuka laaaah biar kita paham darimana untuk siapa dalil itu berawal. @prabowo;positif;
@tvOneNews Sipelawak ini kan sdh jadi ketua komisi III kalo berani coba dorong. RUU PERAMPASAN ASET jadi undang2 Jgn bilang : jgn dengerin omongan orang gagal. Kalo tdk RUU oerampasan aset tdk di undangkan. KAU MANUSIA GAGAL;negatif;
@PaltiWest2024 Langkah awal pemberantasan korupsi sahkan RUU perampasan aset dah;positif;
Cair...cair...Mahasewa dpt uang tahun baru.. Knp Mahasewa tdk pernah demo Syahkan RUU Perampasan Aset Koruptor ya krn tdk ada yg byr https://t.co/EEIp6G6cGg;negatif;
@detikcom Kakek omon omon..yah resmikan ruu perampasan aset kalau gitu dodol @prabowo;positif;
Sebenarnya diksi kembalikan yg dicuri itu senada dg RUU perampasan aset pengembalian dg kesadaran perampasan dg paksaan. Pasca pilpres oleh yg kalah apapun akan digoreng utk jd bahan hujatan!;positif;
kl kasihan rakyat...minimal sesegerakan RUU perampasan aset buat koruptor bjir;positif;
@luffeat @NenkMonica Harusnya engga selama RUU Perampasan Aset belum sah;negatif;
@ARSIPAJA 1) Presiden Mediocre mencoba membodohi rakyat dng Statement2nya yg bodoh 2) Masa Presiden gak bisa dorong RUU Perampasan Aset jadi UU? 3) Diikuti tindakan pembersihan pd SAPU2 yg KOTOR ?;negatif;
Ada yang pernah dengar ataupun tahu ada koruptor TOBAT ? Yang diinginkan masyarakat adalah Hukum mati para koruptor &amp;;
@yaniarsim Kapasitas tobat itu wilayah batin namun konsekuensinya difisik alias denda mesti dijalani tobat itu otomatis harus membuktikan dg mengembalikan apa yg dia curi... walaupun sampai hartanya habis/miskin. Makanya untuk legalnya RUU perampasan aset;positif;
@tvOneNews biar gak sia² sahkan RUU Perampasan Aset;positif;
Itu artinya RUU perampasan aset harus segera dii undangkan !! Buruaan Presiden desak DPR utk sahkan jd UU;positif;
@kozirama busyeet waktu 3 paslon diundang dlm acara paku integritas KPK pilpres lalu paslon nomer genap emang gak nyinggung RUU perampasan aset sama sekali malah mau naikin gaji hakim dan penegak hukum lain kan?;negatif;
IRWAN PRASETYO... gue tandain lu ya. Alasan lu dihujat itu krn ARGUMEN LU SAMPAH BEGOOOO Banyak yg berusaha mengedukasi logika lu bukannya makasih malah ngelunjak. Ini konten apaan lagi comparing pajak Jerman dan Indo? Kesimpulannya malah bawa2 RUU perampasan aset. Ngaco!;negatif;
@kat56op ya kebijakannya belum dimasak jg si itu ruu perampasan aset;negatif;
@sekjen_kw @MurtadhaOne1 Paling yang mengancam adl partainya wong licik. Mereka juga yang menghambat RUU perampasan aset koruptor.;negatif;
Kalau dulu RUU Pilkada bisa dikebut cuma sehari demi anu ini itu t*i kucing kenapa RUU Perampasan Aset sulit maju? Tanya kenapa. https://t.co/2066Fermlq;negatif;
Memaafkan koruptor dengan harapan mendapat limpahan hasil jarahan juga jadi harapan. Anehnya blum menyegerakan RUU Perampasan Aset yang jelas-jelas bisa menjalankan fungsi pengumpulan dana. Mungkin dianggap kelamaan. https://t.co/OvMsW8HJTf;negatif;
Klo emang bapak @prabowo itu seorang negarawan dan macan asia (claimnya) ya itu dorong RUU perampasan aset berani ga?;negatif;
@Mata_Netizen62 @prabowo @03__nakula @__AnakKolong @Anak__Ogi @AntoniusCDN @Bambangmulyonoo @Cintada16 @ch_chotimah2 @Dennysiregar7 @INDONESIAPERKS4 @JhonSitorus_18 Hukum beserta hukumannya untuk jerat koruptor termasuk untuk untuk mencegah sudah banyak. ;;
@DS_yantie @habiburokhman Lah kan bener Mahfud gagal ruu perampasan aset yg bikin gagal slh 1 nya ya Gerindra ;negatif;
@AnggaPutraF @irwndfrry Ruu perampasan aset bukan lagi urgent tapi ...;negatif;
@tvOneNews Ga ada gaungnya lg menetapkan Ruu perampasan aset.. mana pak presiden katanya mau basmi koruptor.. Dr sahkan Ruu perampasan aset aja dl pak..;negatif;
ya kl gt sahkan ruu perampasan aset donk;positif;
@AdindaZahrany07 RUU perampasan aset saja disahkan pak @prabowo nggak perlu muter2 isu yang lain koruptor itu takutnya kalo dimiskinkan sapa yg bs nilai seorang bertobat;positif;
Makanya lu partai lu &amp;;
Koruptor tidak ada kapoknya karena difasilitasi oleh sebagian pejabat yang jadi bossnya para maling. Otak atik aturan agar maling tetap sejahtera misalnya pelemahan KPK. Giliran didorong membahas dan mensahak RUU perampasan aset mbulet aja.;negatif;
@tvOneNews Si raja omon2x masa kampanye si kucing asia dan buzzer ribut soal.perampasan aset si kucing asia bicara soal koruptor alutsista dan penyelamatan uang negara hasilnya ruu perampasan aset tak pernah sah koruptor alutsista tak pernah dihukum dan s;negatif;
@cnbcindonesia sahkan RUU PERAMPASAN ASET dan miskinkan si koruptor... koruptor tak pantas diampuni sama sekali.... say no to pengampunan koruptor;positif;
@sutanmangara RUU PERAMPASAN ASET TIDAK KUNJUNG DISAHKAN KENAPA ? TAKUT DPR GK BISA KORUPSI LAGI;negatif;
@AGoeci RUU Perampasan aset dan RUU Uang kartal gimana kabarnya?;negatif;
@ferry_kdg @prabowo RUU PERAMPASAN ASET SEGERA DI SAHKAN . DPR DPR;positif;
@detikcom Kalau begitu segera sahkan RUU perampasan aset aja pak @prabowo;positif;
@detikcom Tobat urusan dia sama yg maha Kuasa urusan koruptor yg ngerampok duit rakyat di proses hukum dan berlakukan RUU perampasan aset koruptor. Nga perlu pake di kembalikan negara punyak hak untuk merampasnya.;positif;
@NenkMonica Pantesan RUU perampasan aset ga kunjung disahkan merekalah koruptor nya. Mau dikejar sampe antartika taik kucing;negatif;
Jends yang di gedung depeer tuh isinya banteng ini mahasewa takut kah sama banteng apa gimana si? Dari kapan tau ruu perampasan aset kaga disah sahkan malah surat presiden di abaikan;negatif;
Makanya disuruh cepet sahin ruu perampasan aset! Giliran mslh ruu perampasan aset ga disahin ga ada yg demo tapi ribut masalah hukum koruptor. Minimal lah mrk keluar dari penjara miskin cuy!;negatif;
@OposisiCerdas Pembuktian ucapan sangat ditunggu rakyat. Apalagi jika ucapan tdk memaafkan ditindaklanjuti dg mengajukan RUU ke DPR ttg perampasan aset koruptor Jangan sampai cuma OMON2. Lain ucapan lain kebijakan dan tindakan Salam Sehat Salam Berpikir;negatif;
@detikcom Itulah gunanya RUU PERAMPASAN ASET PAK PRESIDEN @prabowo;positif;
@acehlon90 @opposite6892 Jokowi lagi Ja. Padahal dia gencar teriak ruu perampasan aset .;negatif;
@P_etkLeeSegh @detikcom Dorong pengesahan RUU perampasan aset.. jng omon omon doank..;positif;
Jends engga mau mendesak Depe er er ai kah buat mengesahkan ruu perampasan aset udah muak banget liat berita korup triliunan tapi cuma dipnjra 6 5 tahun;negatif;
@KompasTV Yg bikin melempem ya DPR juga knp tdk sahkan RUU Perampasan Aset berani ?;negatif;
@prastow Semoga RUU perampasan aset koruptor disahkan DPR satu2nya cara biar korupsi di Indonesia musnah selain Hukuman mati tentunya Sehat selalu om Prastowo &amp;positif;
@prastow Harapan saya RUU Perampasan Aset menjadi UU dan uang-uang tersebut terutama dikembalikan pada yang dirugikan (jika ada seperti kasus Jiwasraya). Tapi tentu saja ini harapan yang sungguh tipis.;negatif;
@Gerindra Banyak PR nih min ....: Tekan @DPR_RI @puanmaharani_ri sahkan RUU Perampasan Aset Pengutil Duit Rakyat atau Presiden @prabowo keluarkan PERPU biar langsung bisa di laksanakan UU Perampasan Aset nya https://t.co/6VBjpuBGTE;positif;
@zy_zy_lestary Khan udah di bilang mulyono dan partai emak banteng harus dimusnahkan. Merekalah pelaku sebenarnya dengan menjual aset dan tidak ingin RUU Perampasan Aset disahkan krn mereka pelakonnya;negatif;
@zy_zy_lestary Hei.penjilat Mulyono KIM Plus skrng jumlahnya sdh lebih Dr 70% di DPR RI knp gak disahkan aja biarkan PDIP walk out apabila mmg KIM Plus mmg sdh siap dgn RUU perampasan Aset. Mulyono cuma jago buat Penggiringan Opini sdh Tau RUU perampasan ;negatif;
Gak ada penolakan atas usulan RUU Perampasan Aset sis hingga saat ini RUU tsb di DPR cuman gak di urus tahun ini juga gak masuk Prolegnas 2025. Kalau mau ya pak prabowo melakukan Perppu.;negatif;
@KemensetnegRI tolong usulkan ke dpr secepatnya ruu perampasan aset buat yg korupsi;positif;
@NarasiNewsroom Yg spt ini di bahas RUU Perampasan Asset smp skr tdk mjd prioritas bhkn tdk ada di Prolegnas 2025. https://t.co/6AZnSQoCb2;negatif;
@Rudy_Komunita @mamakmumdak @mukhayya89540 @txtdrimhswa @zy_zy_lestary MANUSIA GOBLOK ITU PRESIDEN UDAH NGELUARIN SURPRES BUAT DPR MEMBAHAS RUU PERAMPASAN ASET MANA HASILNYA? ADA HASILNYA? APAKAH DIBAHAS RUU NYA? LOGIKANYA SELAMA INI KALAU PRESIDEN SDH BU;negatif;
@NarasiNewsroom Pantes Indonesia berantakan lo pejabatnya modelan gini..tuh yg gampang sahkan aja RUU Perampasan Aset koruptor dijamin PNPB besar dan bukan sekedar nariki uang receh dari anggota moge....;negatif;
@NarasiNewsroom RUU Perampasan Aset sampe skrg gajelas tindak lanjutnya trs tbtb ngomongin moge masuk tol. Mereka nih emg se tone deaf itu ya;negatif;
@Epricila10 Disamping masa jbtn 3 periode dan permintaan perpanjangan masa jbtn pengesahan RUU Perampasan Aset ini jg bikin jengkel Megawati. Saat itu Megawati sdh instruksikan Jokowi utk scptnya membereskan atau jika ada kesulitan agar sgr bikin perpunya;positif;
@susno2g Nungguin ditangkapnya sama aja kyk nungguin ruu perampasan aset di sah kan pak.;negatif;
@tham878 Ketar ketir .... Begitu RUU perampasan aset disahkan ....habislah maling2 DPR....;positif;
@tham878 Itu fakta ....contoh saya dulu pengagum PDIP. semenjak mereka menyerang BPK Jokowi setelah mengeluarkan usulan pembahasan RUU perampasan aset ....itu awalnya ...ADA APA DGN PDIP TENTANG RUU ITU. ? ? ?;negatif;
@zy_zy_lestary Giliran sah kan perubahan umur Tolak putusan MA cepet RUU PERAMPASAN ASET Mak banteng yg di salah kan Di byr berapa Ama Joko oey ;negatif;
